term,beta,se,t,p,lo95,hi95,outcome
comorb_count,0.001066865139014661,0.0005624003280534771,1.8969852715185753,0.30884506688910496,-0.006079108572924631,0.008212838850953953,sleep_efficiency
phq9_score,-0.000493249121399239,0.00026292519531388405,-1.8760055338568478,0.3117748189628964,-0.003834030483356169,0.002847532240557691,sleep_efficiency
sinus_ever,-0.007679161431418648,0.0015867209180739298,-4.8396421474925395,0.12971721996173136,-0.027840362275637073,0.012482039412799777,sleep_efficiency
head_injury,-0.0027742370861385257,0.0007106901887544566,-3.90358151841185,0.1596527363810849,-0.01180441212844329,0.006255937956166238,sleep_efficiency
n_meds,-0.0007775334158108826,0.0002116133901565087,-3.6743110406946413,0.16916505580275687,-0.0034663364760554967,0.0019112696444337314,sleep_efficiency
(Intercept),31.195536543187956,4.383461946142577,7.116643631556984,0.0888731833459715,-24.5016283977304,86.89270148410631,waso_min
od_binary,2.218881165210311,1.5582475485308354,1.4239593492717775,0.3897678969168583,-17.5805312160648,22.018293546485417,waso_min
age,0.08159441762009245,0.08574854312334072,0.951554564638224,0.5158002188586384,-1.0079441271337795,1.1711329623739644,waso_min
female,-1.5690096476562605,1.1592638216035327,-1.3534534748837013,0.4050985184016769,-16.298853108191043,13.160833812878522,waso_min
race_MexAm,-0.053769400382256194,2.185254899822725,-0.02460555076966909,0.9843387799670675,-27.82006555825872,27.71252675749421,waso_min
race_NHAsian,2.636921998267889,0.7067004637389699,3.7313149397364405,0.1666980538472178,-6.342558781149062,11.61640277768484,waso_min
race_NHBlack,2.6328759432479356,0.06755158585247403,38.97578287796049,0.01633014372713748,1.7745516631531186,3.4912002233427524,waso_min
race_OtherHisp,-0.0460914614400334,1.9914775142251866,-0.023144354435739613,0.9852684763401651,-25.350212484673506,25.258029561793442,waso_min
race_OtherMulti,-1.4372489926279872,2.2585271927266994,-0.6363655913714324,0.6392080886869664,-30.13455790563131,27.26005992037534,waso_min
edu_HS,0.19986942861348744,2.324658675126866,0.08597796775588132,0.945399002244113,-29.337719639273082,29.73745849650006,waso_min
edu_SomeColl,0.061772580477067685,1.8671648147285331,0.03308362496432796,0.9789459893544461,-23.662805831645365,23.786350992599502,waso_min
edu_lt_HS,1.9432539832513385,0.7365778005822192,2.6382195902663863,0.23065430793333475,-7.415854355067594,11.302362321570271,waso_min
pir,-0.6326797434891265,0.07435905525614124,-8.508442466216971,0.07448044018327127,-1.577501123562184,0.3121416365839311,waso_min
bmi,0.10740190834849539,0.0734898722111954,1.4614518316189675,0.382021416642907,-0.8263754540022688,1.0411792706992595,waso_min
smk_current,1.7305008956523693,1.655759041307618,1.0451405382547239,0.4859507484773695,-19.307912476974558,22.768914268279296,waso_min
smk_former,-0.3366138379474959,0.9594953519415113,-0.35082383386888477,0.7851990402935956,-12.528158223124331,11.854930547229339,waso_min
dm_self,3.026234156822696,0.4679379590102955,6.467169629117677,0.09766522449419957,-2.9194813541898412,8.971949667835233,waso_min
comorb_count,-0.45833444004801294,0.45290947413061333,-1.0119780358488044,0.49621001609706794,-6.213094945304802,5.2964260652087765,waso_min
phq9_score,0.17016178955682593,0.08071725983626923,2.10812148358344,0.2819733677111027,-0.8554482396658216,1.1957718187794735,waso_min
sinus_ever,1.4252277602179262,0.7265045903919527,1.961760158251731,0.3001116141799245,-7.805888307072959,10.656343827508811,waso_min
head_injury,2.191485834785965,0.3321840120979189,6.597204425780654,0.09576938062053397,-2.0293122330141244,6.412283902586054,waso_min
n_meds,0.018991326924108876,0.053692433293465465,0.3537058344945633,0.783566842592855,-0.6632357232860658,0.7012183771342836,waso_min
(Intercept),0.1511544662613044,0.019678199041852897,7.681316056404302,0.08241547957624218,-0.0988807596036752,0.401189692126284,astp
od_binary,0.011339859187431064,0.0008244835565800344,13.753893691305267,0.04620520935042438,0.0008638023159156741,0.021815916058946457,astp
age,0.0005137607430996923,8.904637661080401e-05,5.769586171318257,0.10925522276055388,-0.0006176807491317011,0.0016452022353310857,astp
female,-0.02308810684793022,0.008125586952654163,-2.841407886280592,0.21543242606304136,-0.12633347826994384,0.0801572645740834,astp
